BondCode,BondName,Issuer,Term,CreditRating,BondType,IssueDate,CouponRate,_priority,_merge_code
185872,22洪政02,南昌市政公用集团有限公司,3.0,,02,2022-06-15,3.0,999,185872
185873,22洪政03,南昌市政公用集团有限公司,5.0,,02,2022-06-15,3.44,999,185873
185874,22蓉轨Y1,成都轨道交通集团有限公司,,AAA,02,2022-06-23,3.5,999,185874
185875,22芯鑫01,芯鑫融资租赁有限责任公司,3.0,AAA,02,2022-06-21,3.27,999,185875
185877,22交通G2,昆明市交通投资集团有限责任公司,2.0,,02,2022-06-16,5.0,999,185877
185878,22西基03,西安城市基础设施建设投资集团有限公司,5.0,AAA,02,2022-06-20,3.1,999,185878
185879,22西基04,西安城市基础设施建设投资集团有限公司,15.0,AAA,02,2022-06-20,4.28,999,185879
185880,22融和01,中电投融和融资租赁有限公司,3.0,,02,2022-06-15,3.1,999,185880
185881,22融和02,中电投融和融资租赁有限公司,5.0,,02,2022-06-15,3.6,999,185881
185882,22陕金K2,陕西金融控股集团有限公司,3.0,,02,2022-06-23,3.55,999,185882
185883,22智光G1,泰兴市智光环保科技有限公司,3.0,AAA,02,2022-09-06,3.2,999,185883
185884,22宁证S1,南京证券股份有限公司,,A-1,,,,999,185884
185886,22四局Y1,中交建筑集团有限公司,,AAA,02,2022-06-24,3.18,999,185886
185887,22药投01,中国医药投资有限公司,3.0,AAA,02,2022-06-27,2.78,999,185887
185888,22光证G2,光大证券股份有限公司,5.0,AAA,02,2022-06-17,3.25,999,185888
185890,22网租04,国网国际融资租赁有限公司,2.0,,02,2022-07-01,2.7,999,185890
185891,22安信C1,国投证券股份有限公司,,AAA,,,,999,185891
185893,22东证S2,东方证券股份有限公司,,A-1,,,,999,185893
185894,22安租13,平安国际融资租赁有限公司,3.0,,02,2022-06-23,3.65,999,185894
185895,22新钢01,新余钢铁集团有限公司,5.0,,02,2022-06-23,3.3,999,185895
185896,22娄城G1,太仓娄城高新集团有限公司,5.0,,02,2022-06-21,3.65,999,185896
185897,22台州01,台州市国有资本运营集团有限公司,5.0,AAA,02,2022-06-22,2.85,999,185897
185898,G22疏浚1,中交疏浚(集团)股份有限公司,3.0,AAA,02,2022-06-21,2.88,999,185898
185899,22远东七,远东国际融资租赁有限公司,4.0,AAA,02,2022-06-20,3.3,999,185899
185900,22国丰Y3,烟台国丰投资控股集团有限公司,,AAA,02,2022-06-22,3.37,999,185900
185901,22国丰Y4,烟台国丰投资控股集团有限公司,,AAA,02,2022-06-22,4.07,999,185901
185902,22HDGJY2,华电国际电力股份有限公司,,AAA,02,2022-07-27,2.67,999,185902
185903,22成交01,成都交通投资集团有限公司,3.0,,02,2022-06-24,2.97,999,185903
185904,22交建Y5,中国交通建设股份有限公司,,AAA,02,2022-06-23,3.07,999,185904
185905,22国租01,国新融资租赁有限公司,4.0,AAA,02,2022-06-30,2.8,999,185905
185906,22国租02,国新融资租赁有限公司,5.0,AAA,02,2022-06-30,3.0,999,185906
185907,22国发02,苏州国际发展集团有限公司,3.0,,02,2022-06-21,2.9,999,185907
185908,22上金01,上海汽车集团金控管理有限公司,3.0,,02,2022-06-27,3.1,999,185908
185909,22余投02,余姚市城市建设投资发展有限公司,5.0,,02,2022-06-27,3.6,999,185909
185910,22首股03,北京首都开发股份有限公司,5.0,AAA,02,2022-06-22,3.4,999,185910
185911,22信投Y2,中信建投证券股份有限公司,,AAA,,,,999,185911
185912,22蓉产K1,成都产业投资集团有限公司,5.0,AAA,02,2022-06-22,3.0,999,185912
185913,22保利05,保利发展控股集团股份有限公司,5.0,AAA,02,2022-07-01,3.0,999,185913
185914,22保利06,保利发展控股集团股份有限公司,7.0,AAA,02,2022-07-01,3.4,999,185914
185915,22恒信G2,海通恒信国际融资租赁股份有限公司,2.0,AAA,02,2022-06-24,3.16,999,185915
185916,22穗建05,广州市城市建设开发有限公司,5.0,AAA,02,2022-06-29,2.85,999,185916
185917,22穗建06,广州市城市建设开发有限公司,7.0,AAA,02,2022-06-29,3.37,999,185917
185918,22宁资04,宁夏国有资本运营集团有限责任公司,3.0,AAA,02,2022-06-27,3.1,999,185918
185919,22漳九Y3,漳州市九龙江集团有限公司,,AAA,02,2022-07-05,3.27,999,185919
185920,22淮安03,淮安开发控股有限公司,2.0,,02,2022-06-24,4.65,999,185920
185921,22湘财01,湘财证券股份有限公司,3.0,,02,2022-06-23,4.87,999,185921
185922,22建租05,中建投租赁股份有限公司,5.0,AAA,02,2022-07-14,3.68,999,185922
185923,22华港03,华远国际陆港集团有限公司,5.0,AAA,02,2022-07-11,3.4,999,185923
185924,22武金Y2,武汉金融控股(集团)有限公司,,AAA,02,2022-06-27,4.0,999,185924
185926,22济建Y3,济南城市建设集团有限公司,,AAA,02,2022-07-01,3.75,999,185926
185927,22翔业02,厦门翔业集团有限公司,3.0,,02,2022-06-27,2.97,999,185927
185928,22龙湖04,重庆龙湖企业拓展有限公司,6.0,AAA,02,2022-07-11,4.1,999,185928
185929,22建发Y3,厦门建发股份有限公司,,AAA,02,2022-06-27,3.97,999,185929
185930,22漳九06,漳州市九龙江集团有限公司,5.0,AAA,02,2022-07-04,3.09,999,185930
185931,22葛洲Y2,中国葛洲坝集团股份有限公司,,AAA,02,2022-06-27,3.13,999,185931
185932,22连城G1,连云港市城建控股集团有限公司,5.0,,02,2022-06-30,3.42,999,185932
185934,22陕金03,陕西金融控股集团有限公司,3.0,,02,2022-07-05,3.47,999,185934
185936,22安租15,平安国际融资租赁有限公司,4.0,,02,2022-07-04,3.13,999,185936
185937,22南山02,南山集团有限公司,2.0,AAA,02,2022-07-14,5.18,999,185937
185939,22华电01,中国华电集团有限公司,3.0,AAA,02,2022-07-08,2.93,999,185939
185940,22华电02,中国华电集团有限公司,5.0,AAA,02,2022-07-08,3.35,999,185940
185942,22交通G4,昆明市交通投资集团有限责任公司,2.0,,02,2022-08-10,5.0,999,185942
185943,22川投02,四川能源发展集团有限责任公司,5.0,,02,2022-06-29,3.39,999,185943
185944,22兴投07,河南航空港投资集团有限公司,3.0,,02,2022-07-28,4.12,999,185944
185945,22津投12,天津城市基础设施建设投资集团有限公司,2.0,AAA,02,2022-07-08,4.1,999,185945
185946,22津投13,天津城市基础设施建设投资集团有限公司,2.0,AAA,02,2022-07-08,5.5,999,185946
185947,22特房02,厦门经济特区房地产开发集团有限公司,3.0,AAA,02,2022-07-01,2.93,999,185947
185948,22特房03,厦门经济特区房地产开发集团有限公司,5.0,AAA,02,2022-07-01,3.18,999,185948
185949,22路投01,台州市路桥公共资产投资管理集团有限公司,2.0,,02,2022-07-20,2.67,999,185949
185950,22中豫03,中原豫资投资控股集团有限公司,5.0,,02,2022-07-06,3.48,999,185950
185951,22栖建01,南京栖霞建设股份有限公司,5.0,AA+,02,2022-07-12,3.75,999,185951
185952,22国管01,北京国有资本运营管理有限公司,10.0,AAA,02,2022-07-06,3.64,999,185952
185953,22临债01,上海临港控股股份有限公司,4.0,AAA,02,2022-07-11,2.79,999,185953
185954,22豫投01,河南投资集团有限公司,10.0,AAA,02,2022-07-18,3.98,999,185954
185956,22青控Y4,青岛城投城金控股集团有限公司,,AAA,02,2022-07-08,3.86,999,185956
185957,GC天成07,华能天成融资租赁有限公司,2.0,AAA,02,2022-07-11,2.8,999,185957
185958,22中公Y1,中交一公局集团有限公司,,AAA,02,2022-07-04,2.95,999,185958
185959,22中公Y2,中交一公局集团有限公司,,AAA,02,2022-07-04,3.17,999,185959
185960,22建控Y1,陕西建工控股集团有限公司,,AAA,02,2022-07-28,5.7,999,185960
185961,22滨建G2,常熟市滨江城市建设经营投资有限责任公司,3.0,,02,2022-07-04,3.4,999,185961
185962,22义创G1,义乌市国有资本运营有限公司,3.0,,02,2022-07-21,3.15,999,185962
185963,22沪资02,上海国际集团资产管理有限公司,3.0,,02,2022-07-11,2.9,999,185963
185964,22玄武01,南京钟山资产经营管理集团有限公司,3.0,,02,2022-07-20,2.86,999,185964
185965,22穗建07,广州市城市建设开发有限公司,5.0,AAA,02,2022-07-08,2.9,999,185965
185967,22金茂03,上海金茂投资管理集团有限公司,5.0,AAA,02,2022-07-18,3.28,999,185967
185968,22首城02,北京首创城市发展集团有限公司,5.0,AAA,02,2022-07-13,3.8,999,185968
185969,22粤港02,广州港股份有限公司,3.0,AAA,02,2022-07-11,2.9,999,185969
